ID_RRES_v5,Module
FGRAMPH1_01T01791,F02
FGRAMPH1_01T01793,F13
FGRAMPH1_01T01795,F10
FGRAMPH1_01T01797,F10
FGRAMPH1_01T01801,F01
FGRAMPH1_01T01803,F01
FGRAMPH1_01T01805,F18
FGRAMPH1_01T01807,F02
FGRAMPH1_01T01811,F01
FGRAMPH1_01T01813,F01
FGRAMPH1_01T01815,F01
FGRAMPH1_01T01817,F03
FGRAMPH1_01T01819,F01
FGRAMPH1_01T01821,F02
FGRAMPH1_01T01827,F01
FGRAMPH1_01T01829,F02
FGRAMPH1_01T01831,F05
FGRAMPH1_01T01833,F01
FGRAMPH1_01T01835,F05
FGRAMPH1_01T01839,F02
FGRAMPH1_01T01841,F01
FGRAMPH1_01T01843,F08
FGRAMPH1_01T01847,F01
FGRAMPH1_01T01849,F01
FGRAMPH1_01T01851,F13
FGRAMPH1_01T01853,F05
FGRAMPH1_01T01859,F08
FGRAMPH1_01T01861,F06
FGRAMPH1_01T01867,F08
FGRAMPH1_01T01869,F15
FGRAMPH1_01T01871,F01
FGRAMPH1_01T01873,F01
FGRAMPH1_01T01875,F05
FGRAMPH1_01T01879,F01
FGRAMPH1_01T01881,F07
FGRAMPH1_01T01883,F11
FGRAMPH1_01T01885,F13
FGRAMPH1_01T01887,F02
FGRAMPH1_01T01889,F01
FGRAMPH1_01T01891,F04
FGRAMPH1_01T01893,F03
FGRAMPH1_01T01895,F16
FGRAMPH1_01T01897,F01
FGRAMPH1_01T01899,F02
FGRAMPH1_01T01901,F02
FGRAMPH1_01T01903,F01
FGRAMPH1_01T01905,F04
FGRAMPH1_01T01907,F08
FGRAMPH1_01T01911,F01
FGRAMPH1_01T01915,F02
FGRAMPH1_01T01917,F01
FGRAMPH1_01T01919,F01
FGRAMPH1_01T01923,F03
FGRAMPH1_01T01925,F04
FGRAMPH1_01T01927,F04
FGRAMPH1_01T01929,F09
FGRAMPH1_01T01931,F07
FGRAMPH1_01T01933,F02
FGRAMPH1_01T01935,F01
FGRAMPH1_01T01937,F05
FGRAMPH1_01T01941,F06
FGRAMPH1_01T01945,F01
FGRAMPH1_01T01947,F01
FGRAMPH1_01T01949,F01
FGRAMPH1_01T01951,F07
FGRAMPH1_01T01953,F03
FGRAMPH1_01T01955,F01
FGRAMPH1_01T01959,F05
FGRAMPH1_01T01961,F05
FGRAMPH1_01T01963,F02
FGRAMPH1_01T01965,F01
FGRAMPH1_01T01967,F03
FGRAMPH1_01T01969,F04
FGRAMPH1_01T01971,F08
FGRAMPH1_01T01975,F02
FGRAMPH1_01T01977,F08
FGRAMPH1_01T01979,F01
FGRAMPH1_01T01981,F01
FGRAMPH1_01T01983,F09
FGRAMPH1_01T01985,F05
FGRAMPH1_01T01989,F01
FGRAMPH1_01T01991,F02
FGRAMPH1_01T01993,F01
FGRAMPH1_01T01995,F01
FGRAMPH1_01T01997,F04
FGRAMPH1_01T01999,F14
FGRAMPH1_01T02001,F04
FGRAMPH1_01T02003,F01
FGRAMPH1_01T02005,F01
FGRAMPH1_01T02007,F02
FGRAMPH1_01T02009,F04
FGRAMPH1_01T02011,F04
FGRAMPH1_01T02013,F01
FGRAMPH1_01T02015,F01
FGRAMPH1_01T02017,F03
FGRAMPH1_01T02019,F04
FGRAMPH1_01T02021,F06
FGRAMPH1_01T02023,F02
FGRAMPH1_01T02025,F08
FGRAMPH1_01T02027,F11
FGRAMPH1_01T02029,F06
FGRAMPH1_01T02033,F02
FGRAMPH1_01T02037,F07
FGRAMPH1_01T02039,F02
FGRAMPH1_01T02041,F03
FGRAMPH1_01T02047,F11
FGRAMPH1_01T02049,F07
FGRAMPH1_01T02051,F02
FGRAMPH1_01T02053,F02
FGRAMPH1_01T02055,F04
FGRAMPH1_01T02061,F02
FGRAMPH1_01T02063,F09
FGRAMPH1_01T02065,F16
FGRAMPH1_01T02067,F03
FGRAMPH1_01T02069,F06
FGRAMPH1_01T02071,F11
FGRAMPH1_01T02073,F10
FGRAMPH1_01T02075,F05
FGRAMPH1_01T02077,F03
FGRAMPH1_01T02081,F07
FGRAMPH1_01T02083,F04
FGRAMPH1_01T02085,F05
FGRAMPH1_01T02087,F02
FGRAMPH1_01T02089,F01
FGRAMPH1_01T02091,F08
FGRAMPH1_01T02093,F02
FGRAMPH1_01T02095,F05
FGRAMPH1_01T02097,F01
FGRAMPH1_01T02099,F01
FGRAMPH1_01T02103,F06
FGRAMPH1_01T02105,F05
FGRAMPH1_01T02107,F02
FGRAMPH1_01T02109,F03
FGRAMPH1_01T02111,F16
FGRAMPH1_01T02113,F04
FGRAMPH1_01T02115,F04
FGRAMPH1_01T02117,F03
FGRAMPH1_01T02119,F02
FGRAMPH1_01T02121,F01
FGRAMPH1_01T02123,F04
FGRAMPH1_01T02125,F05
FGRAMPH1_01T02133,F02
FGRAMPH1_01T02135,F05
FGRAMPH1_01T02137,F06
FGRAMPH1_01T02139,F02
FGRAMPH1_01T02141,F10
FGRAMPH1_01T02143,F01
FGRAMPH1_01T02145,F12
FGRAMPH1_01T02151,F03
FGRAMPH1_01T02153,F07
FGRAMPH1_01T02155,F03
FGRAMPH1_01T02157,F03
