,logFC,logCPM,PValue,FDR
FGRAMPH1_01T09379,-3.031864175,1.313908025,3.70E-06,1.62E-05
FGRAMPH1_01T09385,2.41920284,1.785484161,0.001508035,0.004122962
FGRAMPH1_01T09387,6.353472564,1.00467372,0.000206052,0.000678817
FGRAMPH1_01T09389,5.994696313,3.067087726,1.23E-17,1.60E-16
FGRAMPH1_01T09397,-6.909720779,0.395696003,4.48E-05,0.000166083
FGRAMPH1_01T09401,-1.747587435,5.647776391,1.50E-06,6.98E-06
FGRAMPH1_01T09403,-1.274248162,4.514860848,0.005387326,0.012773077
FGRAMPH1_01T09407,-1.724315315,3.152952628,0.000808234,0.002349696
FGRAMPH1_01T09417,6.954377908,3.489887991,6.93E-21,1.13E-19
FGRAMPH1_01T09419,7.216687527,3.570149593,3.51E-17,4.50E-16
FGRAMPH1_01T09421,8.116720766,2.566839411,1.41E-09,9.27E-09
FGRAMPH1_01T09427,3.226293029,4.472785299,1.57E-10,1.13E-09
FGRAMPH1_01T09429,7.972552096,3.552929435,1.92E-14,1.98E-13
FGRAMPH1_01T09433,3.090204281,0.654849548,0.007326406,0.01674813
FGRAMPH1_01T09435,2.170892932,5.65753743,1.40E-08,8.32E-08
FGRAMPH1_01T09453,-4.052116698,0.702968886,0.000237011,0.000771096
FGRAMPH1_01T09455,-1.67059901,1.304248931,0.018543489,0.037791299
FGRAMPH1_01T09471,5.054105593,3.890553099,4.27E-12,3.58E-11
FGRAMPH1_01T09481,4.821236866,7.61321502,1.73E-14,1.80E-13
FGRAMPH1_01T09489,1.900025204,2.138956133,0.020600727,0.041459012
FGRAMPH1_01T09497,3.841572918,1.171799669,0.000227919,0.000744061
FGRAMPH1_01T09501,3.226061946,1.981744258,0.000388569,0.001211082
FGRAMPH1_01T09505,-1.798690974,1.50624678,0.000977578,0.002795408
FGRAMPH1_01T09513,-0.88906964,8.507293339,0.006773055,0.015619676
FGRAMPH1_01T09523,-2.623449924,5.91998529,8.75E-08,4.76E-07
FGRAMPH1_01T09527,-4.800329369,6.678283335,5.46E-43,4.11E-41
FGRAMPH1_01T09533,-1.964409524,3.791899632,6.44E-05,0.00023124
FGRAMPH1_01T09537,1.206257433,6.731684643,0.002736926,0.007018739
FGRAMPH1_01T09541,-2.658408487,1.998449341,0.000141063,0.000479803
FGRAMPH1_01T09559,-2.53311886,1.504207407,0.000735218,0.002162662
FGRAMPH1_01T09571,-2.298870929,3.961566459,7.12E-13,6.34E-12
FGRAMPH1_01T09575,-2.181567657,7.572787017,5.46E-10,3.74E-09
FGRAMPH1_01T09579,-1.591986033,9.023407589,0.002594952,0.00669238
FGRAMPH1_01T09589,2.715845406,1.58148159,2.70E-05,0.000103785
FGRAMPH1_01T09595,-2.343101186,5.580537517,3.83E-12,3.22E-11
FGRAMPH1_01T09601,-2.240973718,6.00082669,6.89E-09,4.22E-08
FGRAMPH1_01T09607,-0.918188627,4.186870593,0.019258131,0.039057535
FGRAMPH1_01T09621,3.616928905,3.588108622,1.09E-16,1.34E-15
FGRAMPH1_01T09623,4.575691425,7.241967304,5.09E-26,1.14E-24
FGRAMPH1_01T09625,4.236444894,7.99770983,2.15E-12,1.84E-11
FGRAMPH1_01T09633,1.885640144,6.740796683,6.82E-05,0.000244371
FGRAMPH1_01T09639,-0.787802787,6.667344231,0.003463155,0.008650035
FGRAMPH1_01T09643,0.78418365,5.578278205,0.024655569,0.048396686
FGRAMPH1_01T09651,-1.208078955,2.849759993,0.000592667,0.001774271
